pid,creator_email,project_name,tag,project_date,day_of_week,start_time,end_time,curr_capacity,goal_capacity,city,state,description
32,vitae.velit.egestas@ipsum.net,Health Guest Speaker,Education,4/2/2018,friday,13,15,0,7,Knoxville,VA,
33,ipsum.Suspendisse@velvulputate.net,Politics Charity Auction,Disaster Relief,12/4/2017,thursday,16,17,0,15,Hillsboro,MI,
34,dui.Suspendisse.ac@Maecenasmi.org,Youth Charity Auction,Environment,3/20/2017,saturday,8,11,0,14,Burlington,OK,
35,nec.mollis@iaculisneceleifend.ca,Seniors Drive,Arts and Crafts,10/14/2018,saturday,10,13,0,10,Fairbanks,KY,
36,scelerisque.mollis.Phasellus@scelerisque.com,Women Guest Speaker,Faith-based,12/13/2018,thursday,14,16,0,15,Fairbanks,NE,
37,sem.mollis.dui@justoPraesentluctus.edu,Youth Drive,Disaster Relief,6/2/2017,wednesday,16,19,0,23,Seattle,UT,
38,vel.convallis.in@Maecenasornareegestas.com,Technology Charity Auction,Seniors,11/23/2018,friday,9,10,0,14,Topeka,MS,
39,amet.dapibus@elita.edu,Sports Drive,Youth,4/14/2019,saturday,10,11,0,15,Meridian,AZ,
40,libero.est@Aenean.ca,Faith-based Guest Speaker,Arts and Crafts,10/21/2017,tuesday,9,10,0,17,Auburn,AR,
41,fermentum@dolor.com,Disaster Relief Drive,Technology,8/21/2018,sunday,10,13,0,23,Atlanta,CO,
42,euismod@velitjustonec.ca,Politics Foundation,Hunger,8/30/2017,sunday,16,19,0,14,Cheyenne,AL,
43,arcu.Vivamus@enimnonnisi.net,Faith-based Drive,Hunger,9/19/2018,wednesday,17,19,0,2,Birmingham,IN,
44,diam.Sed.diam@nisiMauris.com,Human Rights Drive,Animals,10/27/2018,thursday,7,8,0,19,Tucson,IA,
45,egestas@nisiCum.ca,Animals Social Media Fundraising,Youth,8/1/2018,wednesday,11,14,0,4,Lincoln,KS,
46,pede.Praesent@loremtristiquealiquet.com,Disaster Relief Social Media Fundraising,Seniors,1/15/2017,thursday,15,18,0,7,Sterling Heights,CO,
47,lacinia.vitae.sodales@aclibero.org,Seniors Drive,Hunger,7/9/2017,wednesday,7,9,0,5,Akron,TN,
48,rutrum@posuere.org,International Charity,Homeless,9/7/2018,saturday,13,14,0,24,Mobile,CT,
49,ac.turpis@ornareIn.org,Sports Foundation,Education,4/14/2019,monday,14,15,0,5,Jefferson City,AK,
50,ultrices.posuere@varius.com,Hunger Charity,Animals,3/24/2019,wednesday,12,14,0,12,Boise,MA,
51,natoque.penatibus@turpis.ca,Technology Foundation,Seniors,11/14/2018,friday,16,18,0,20,Bozeman,NV,
52,fringilla.est.Mauris@eudui.edu,LGBT Foundation,Politics,3/24/2018,thursday,11,12,0,20,Houston,WI,
53,magna.et.ipsum@acmattisornare.edu,Women Walk,Hunger,12/13/2017,friday,13,14,0,23,Lansing,WI,
54,sem@adipiscing.org,Animals Charity,International,2/28/2019,friday,11,14,0,24,Kapolei,MS,
55,cursus.in.hendrerit@atlacusQuisque.ca,Politics Walk,LGBT,8/6/2018,monday,10,12,0,7,Newark,MO,
56,Pellentesque.habitant.morbi@sit.ca,Health Guest Speaker,Sports,5/5/2017,sunday,13,15,0,25,Stamford,MI,
57,mollis.non.cursus@ac.org,Education Charity Auction,Health,6/28/2018,saturday,15,17,0,22,Rochester,PA,
58,tristique@odio.org,Animals Guest Speaker,Hunger,10/25/2018,saturday,8,9,0,24,Wichita,CO,
59,id.risus@Mauris.ca,Seniors Drive,LGBT,9/2/2017,saturday,15,17,0,21,Hattiesburg,HI,
60,ornare.elit@pedeSuspendisse.edu,Seniors Guest Speaker,Homeless,9/12/2018,monday,13,16,0,13,Birmingham,WY,
61,vulputate@idliberoDonec.co.uk,LGBT Charity Auction,Seniors,11/22/2018,friday,9,11,0,22,College,OK,
62,diam@Innec.com,Disaster Relief Guest Speaker,Hunger,4/24/2018,thursday,13,15,0,21,Owensboro,CT,
63,tincidunt@inlobortis.org,Health Guest Speaker,Seniors,2/21/2018,thursday,10,13,0,16,Meridian,PA,
64,dignissim.magna@lorem.net,Arts and Crafts Charity,Education,3/31/2018,wednesday,9,11,0,11,Fort Wayne,UT,
65,Aliquam.gravida@sodalesnisimagna.net,Politics Social Media Fundraising,Animals,4/12/2018,friday,9,10,0,12,Philadelphia,ID,
66,pellentesque.Sed@diamSeddiam.net,Youth Charity,Animals,5/6/2018,wednesday,10,13,0,7,Nampa,AZ,
67,Morbi.quis.urna@aliquam.net,Human Rights Guest Speaker,Arts and Crafts,5/16/2017,wednesday,7,10,0,12,Montgomery,WY,
68,Aliquam.tincidunt@non.org,Health Guest Speaker,Hunger,12/8/2018,friday,8,10,0,2,Tuscaloosa,VA,
69,ac@semper.co.uk,Women Walk,Seniors,10/29/2017,tuesday,16,17,0,25,Davenport,CT,
70,ac@posuereatvelit.com,Hunger Drive,Disaster Relief,1/29/2019,sunday,12,13,0,16,Jackson,KS,
71,amet.ornare.lectus@famesac.org,Homeless Drive,International,10/9/2017,friday,14,15,0,14,Clarksville,MN,
72,libero@vitae.com,Environment Guest Speaker,Human Rights,2/11/2019,sunday,12,15,0,4,Grand Island,LA,
73,Integer.vitae@Quisquepurus.co.uk,Animals Charity,Youth,9/30/2017,thursday,17,18,0,16,Colorado Springs,AK,
74,arcu.vel@ligulaeuenim.com,Disaster Relief Social Media Fundraising,Sports,5/14/2018,tuesday,11,13,0,8,Pittsburgh,MO,
75,eget.venenatis.a@congueelitsed.com,International Social Media Fundraising,Hunger,1/7/2017,thursday,13,15,0,20,Anchorage,OH,
76,sed.tortor.Integer@Crasdictumultricies.co.uk,International Social Media Fundraising,International,7/22/2017,friday,7,9,0,20,Jackson,AR,
77,imperdiet@turpisNulla.com,Education Foundation,Animals,4/20/2017,sunday,9,10,0,24,Rockville,MD,
78,consectetuer.adipiscing.elit@Nunccommodoauctor.co.uk,International Social Media Fundraising,Animals,1/9/2019,saturday,9,11,0,3,Missoula,ME,
79,dui@elitpellentesquea.edu,Seniors Charity,Politics,3/25/2019,wednesday,16,18,0,16,Chandler,VA,
80,ut.nulla.Cras@quamdignissim.org,Hunger Walk,LGBT,9/6/2017,monday,12,13,0,7,Lexington,MA,
81,fringilla@sitamet.co.uk,LGBT Walk,Seniors,5/23/2018,thursday,13,16,0,7,Augusta,KY,
82,nec.cursus.a@purusmaurisa.co.uk,Human Rights Drive,Health,2/27/2019,saturday,10,12,0,22,Bear,CO,
83,sociosqu@eu.edu,Women Walk,Politics,5/17/2017,tuesday,12,14,0,5,Harrisburg,NV,
84,Sed.dictum@lectusante.edu,Technology Foundation,Human Rights,1/15/2018,sunday,15,16,0,10,Olympia,FL,
85,Aenean@velitduisemper.co.uk,Environment Guest Speaker,Animals,7/5/2018,sunday,14,16,0,3,Butte,CO,
86,lectus@metusInlorem.org,Youth Drive,Environment,9/2/2017,sunday,17,20,0,20,Cleveland,AL,
87,eget.mollis.lectus@quam.edu,LGBT Walk,Disaster Relief,10/17/2018,thursday,9,11,0,23,New Orleans,AR,
88,rutrum.Fusce@Sed.com,Human Rights Charity Auction,Human Rights,2/23/2018,sunday,9,12,0,12,Louisville,GA,
89,tincidunt.vehicula@scelerisquenequeNullam.co.uk,Faith-based Charity Auction,Seniors,2/5/2019,wednesday,7,9,0,7,Billings,KS,
90,Nam.ac@rhoncus.ca,Sports Foundation,Technology,8/18/2018,friday,14,16,0,21,Fort Worth,ID,
91,Donec.tempor.est@risusNullaeget.net,Sports Foundation,Disaster Relief,5/26/2018,saturday,13,15,0,2,Iowa City,MS,
92,Nulla.dignissim.Maecenas@vitae.ca,Women Charity Auction,LGBT,3/21/2019,saturday,10,11,0,4,Mesa,WI,
93,magnis@infaucibusorci.co.uk,Politics Charity,Disaster Relief,10/1/2018,wednesday,14,15,0,6,Georgia,OK,
94,fermentum.arcu.Vestibulum@dolorFusce.co.uk,Human Rights Walk,International,8/17/2017,sunday,8,9,0,6,Rockville,VT,
95,In.scelerisque@primisin.edu,Disaster Relief Walk,Human Rights,10/23/2018,saturday,17,18,0,25,Billings,ME,
96,dictum.cursus.Nunc@ornare.org,Arts and Crafts Social Media Fundraising,Youth,4/25/2017,tuesday,16,17,0,7,Reno,VA,
97,at.fringilla.purus@sociisnatoque.org,Disaster Relief Charity,Environment,9/24/2018,sunday,7,8,0,11,Vancouver,ME,
98,nisi.a@ridiculusmusProin.edu,Hunger Guest Speaker,International,5/6/2017,thursday,11,14,0,21,Metairie,MN,
99,Sed.malesuada@ipsumSuspendissesagittis.org,Health Walk,Homeless,10/17/2018,sunday,15,17,0,24,Flint,MN,
100,Duis.sit.amet@Aliquam.edu,Technology Foundation,Technology,3/8/2019,tuesday,9,11,0,8,Toledo,WA,
101,Phasellus.fermentum@fermentumarcuVestibulum.com,Animals Charity Auction,Sports,12/20/2018,sunday,15,16,0,10,Salt Lake City,CA,
102,tellus.sem.mollis@aodiosemper.com,Disaster Relief Walk,Human Rights,11/3/2018,saturday,7,10,0,11,Naperville,LA,
103,amet@Praesent.co.uk,Environment Charity,Women,10/2/2017,friday,15,16,0,8,Green Bay,OH,
104,aliquam.iaculis@magnanec.com,Sports Foundation,Youth,8/18/2017,thursday,12,14,0,16,Athens,MA,
105,Mauris.magna.Duis@necdiamDuis.co.uk,Hunger Foundation,Politics,2/28/2017,wednesday,16,19,0,13,Rochester,AR,
106,est.ac.mattis@Proinultrices.com,Women Charity Auction,Seniors,11/15/2017,saturday,17,20,0,13,Miami,UT,
107,auctor.ullamcorper@risusodio.com,LGBT Guest Speaker,International,1/31/2018,thursday,14,17,0,19,Wilmington,VT,
108,velit.Sed@luctuset.edu,Politics Foundation,Human Rights,8/16/2018,saturday,14,16,0,3,New Orleans,WY,
109,libero.Integer.in@duilectus.org,Disaster Relief Social Media Fundraising,Technology,8/28/2017,tuesday,17,19,0,14,Reading,OR,
110,non.feugiat@ullamcorpermagna.org,Seniors Social Media Fundraising,Animals,6/2/2018,thursday,9,10,0,3,Newport News,AZ,
111,vulputate@ametanteVivamus.net,Human Rights Drive,Education,10/9/2017,wednesday,16,19,0,13,Hattiesburg,MI,
112,lobortis.nisi@egestasFuscealiquet.net,Faith-based Drive,Arts and Crafts,5/10/2017,sunday,8,11,0,24,Springfield,DE,
113,nec.ante@tempuseu.com,LGBT Walk,LGBT,1/30/2018,saturday,17,19,0,7,Gary,KS,
114,laoreet.lectus.quis@consectetueripsum.net,Faith-based Walk,Politics,3/17/2019,sunday,16,19,0,2,Boise,IL,
115,luctus.felis.purus@elementum.net,Women Guest Speaker,Animals,7/21/2017,sunday,12,13,0,12,Bowling Green,HI,
116,in.consequat@quamelementumat.com,Health Social Media Fundraising,Disaster Relief,10/30/2017,tuesday,13,14,0,6,New Orleans,NE,
117,non.bibendum.sed@id.edu,Environment Social Media Fundraising,Human Rights,1/11/2018,friday,13,16,0,17,Fort Collins,NV,
118,Nulla.semper.tellus@habitant.co.uk,Environment Foundation,Arts and Crafts,9/19/2017,friday,9,11,0,14,Racine,MN,
119,Integer.vulputate@Sednunc.ca,Disaster Relief Charity,Health,1/31/2018,tuesday,9,11,0,20,Covington,HI,
120,mollis@amet.edu,LGBT Drive,Seniors,9/23/2017,monday,8,9,0,5,Davenport,MD,
121,dui.semper.et@magna.org,Hunger Charity Auction,Homeless,9/18/2018,saturday,16,19,0,7,Warren,ME,
122,in.faucibus@estNunc.edu,Technology Foundation,Disaster Relief,3/31/2017,wednesday,11,13,0,23,Los Angeles,AL,
123,Donec.porttitor.tellus@eleifendnunc.com,Hunger Walk,Disaster Relief,3/7/2017,sunday,8,10,0,9,New Orleans,TX,
124,dictum.mi.ac@dictumProineget.co.uk,Women Foundation,Youth,2/17/2017,thursday,12,15,0,23,Lexington,DE,
125,amet.nulla@quamCurabiturvel.ca,Politics Charity,Youth,11/11/2018,tuesday,9,11,0,23,Laramie,NE,
126,gravida.non@faucibusut.co.uk,Animals Guest Speaker,LGBT,1/1/2018,saturday,14,15,0,3,San Jose,LA,
127,non@cursus.com,Environment Guest Speaker,International,2/16/2017,wednesday,8,11,0,13,New Orleans,UT,
128,auctor.non@Suspendissealiquet.edu,International Guest Speaker,Youth,3/9/2018,monday,8,9,0,2,Green Bay,TN,
129,Aliquam.erat@etarcuimperdiet.edu,LGBT Drive,International,7/7/2017,thursday,12,13,0,16,Columbus,WA,
130,nisi.sem@magna.co.uk,Arts and Crafts Drive,Seniors,12/6/2017,friday,13,14,0,23,Harrisburg,AL,
131,accumsan.interdum.libero@velitCraslorem.co.uk,Education Charity,Human Rights,8/18/2017,tuesday,15,18,0,13,Henderson,OR,
132,mauris@elitCurabitur.edu,Disaster Relief Social Media Fundraising,Sports,12/31/2018,monday,16,17,0,10,Omaha,LA,
133,consectetuer.adipiscing.elit@Nunccommodoauctor.co.uk,Education Foundation,Homeless,5/3/2017,sunday,15,17,0,5,Newark,OK,
134,non.quam.Pellentesque@estNunc.edu,LGBT Foundation,Health,4/29/2017,tuesday,10,11,0,11,Pike Creek,IA,
135,non.magna.Nam@iaculis.com,LGBT Guest Speaker,Animals,8/17/2017,wednesday,8,9,0,15,Honolulu,CT,
136,dui@eu.ca,International Foundation,Animals,10/26/2017,tuesday,16,19,0,12,Owensboro,OR,
137,vehicula.Pellentesque.tincidunt@loremtristique.net,Women Charity Auction,Human Rights,11/8/2017,wednesday,8,9,0,19,Overland Park,WA,
138,fermentum.fermentum@natoquepenatibus.com,Arts and Crafts Charity,Sports,6/15/2017,monday,9,12,0,7,Flint,TN,
139,turpis@lacus.co.uk,Seniors Charity,Health,12/21/2017,saturday,13,14,0,20,Iowa City,NE,
140,id@sempertellusid.ca,Arts and Crafts Social Media Fundraising,Disaster Relief,4/26/2017,saturday,11,14,0,18,Rockville,HI,
141,lorem@auctornon.ca,Hunger Social Media Fundraising,Human Rights,2/17/2017,wednesday,8,10,0,9,Dallas,FL,
142,elementum@ultricesVivamusrhoncus.co.uk,Animals Charity Auction,Politics,6/6/2018,monday,16,19,0,3,Reno,DE,
143,elit.pellentesque@Pellentesquehabitantmorbi.com,Human Rights Drive,Environment,8/23/2018,tuesday,16,17,0,11,Frankfort,PA,
144,mollis@blanditNamnulla.com,Technology Walk,Technology,10/29/2017,monday,9,12,0,10,Lexington,OK,
145,sem.molestie.sodales@augueacipsum.net,Technology Drive,Technology,3/19/2017,friday,9,12,0,6,Jefferson City,GA,
146,fermentum.risus.at@nullaIntegervulputate.ca,Hunger Guest Speaker,Homeless,3/10/2017,tuesday,17,18,0,18,Boston,PA,
147,auctor.ullamcorper.nisl@Cras.com,LGBT Charity Auction,Sports,9/27/2017,thursday,14,17,0,3,Fayetteville,WY,
148,lobortis.nisi@magnatellus.com,Women Walk,Youth,12/29/2017,saturday,15,17,0,24,Vancouver,NE,
149,nec.cursus.a@orciluctus.com,Environment Social Media Fundraising,Faith-based,3/18/2017,tuesday,16,17,0,18,Akron,TN,
150,velit.Sed.malesuada@tempus.ca,Youth Drive,Politics,9/24/2018,friday,9,11,0,20,Dover,DE,
151,nisi.nibh@ligula.edu,Homeless Guest Speaker,Disaster Relief,1/5/2017,friday,10,13,0,13,Honolulu,PA,
152,sagittis.Duis@vitaesodales.org,Environment Walk,LGBT,6/30/2017,friday,11,14,0,14,Lakewood,MS,
153,dictum@arcuAliquamultrices.ca,Seniors Charity,Homeless,6/20/2017,thursday,9,11,0,20,Warren,OK,
154,adipiscing.lobortis.risus@vitaeodio.co.uk,Women Foundation,Animals,2/27/2018,friday,16,19,0,2,Nashville,KY,
155,Vivamus@maurisIntegersem.net,Women Guest Speaker,Homeless,10/17/2017,saturday,10,11,0,11,Boise,KS,
156,tellus.eu@porttitorvulputateposuere.edu,Politics Social Media Fundraising,Technology,1/3/2018,thursday,10,11,0,20,Juneau,OH,
157,Cras.vehicula.aliquet@ametconsectetuer.com,Homeless Guest Speaker,Animals,9/18/2017,saturday,17,18,0,19,Georgia,CO,
158,erat@Vestibulumante.com,Technology Social Media Fundraising,Hunger,1/1/2019,sunday,7,8,0,7,Norman,WA,
159,mauris@sedest.com,Environment Drive,Faith-based,9/19/2018,thursday,9,12,0,6,Independence,UT,
160,luctus.vulputate.nisi@fermentum.com,Homeless Social Media Fundraising,Health,7/29/2018,friday,17,18,0,19,Waterbury,AK,
161,non.quam@congueIn.com,Environment Foundation,Seniors,7/9/2017,wednesday,15,18,0,24,Las Vegas,ME,
162,eu.eleifend@nunc.co.uk,Animals Social Media Fundraising,LGBT,10/19/2018,wednesday,16,17,0,6,Flint,NV,
163,interdum.ligula.eu@volutpat.co.uk,Seniors Drive,Animals,12/19/2018,sunday,8,9,0,23,New Orleans,AR,
164,tincidunt@vel.org,Hunger Drive,Homeless,5/16/2018,monday,17,19,0,10,Evansville,MN,
165,mi.enim@NulladignissimMaecenas.edu,Seniors Charity,Education,6/18/2018,monday,17,19,0,19,Newport News,LA,
166,dolor.tempus.non@ullamcorper.ca,Technology Charity,Seniors,1/25/2017,tuesday,17,19,0,2,Eugene,FL,
167,elementum.sem.vitae@Aliquamnecenim.org,Youth Walk,LGBT,6/12/2017,tuesday,12,13,0,4,Fayetteville,TX,
168,non.dapibus@rutrum.com,Faith-based Walk,Disaster Relief,3/17/2019,monday,12,14,0,21,Fort Smith,MS,
169,augue.id@sit.co.uk,Arts and Crafts Charity,Animals,10/25/2018,saturday,12,14,0,7,Hillsboro,OR,
170,ac.ipsum.Phasellus@orcilobortisaugue.co.uk,Arts and Crafts Walk,Sports,3/27/2018,sunday,7,9,0,16,Dover,IA,
171,sagittis.augue@ac.org,Youth Foundation,Homeless,3/15/2019,sunday,17,18,0,2,Cheyenne,IL,
172,sed@dictum.net,Arts and Crafts Social Media Fundraising,Arts and Crafts,8/9/2018,tuesday,13,15,0,5,Evansville,MT,
173,Cras.vulputate.velit@idmollisnec.net,Education Charity,Faith-based,11/6/2017,wednesday,12,14,0,6,Bowling Green,AK,
174,at.nisi@libero.edu,Arts and Crafts Guest Speaker,Hunger,2/17/2018,saturday,17,18,0,24,Little Rock,IN,
175,diam@quisaccumsanconvallis.co.uk,Environment Charity Auction,Arts and Crafts,6/9/2017,sunday,15,18,0,17,Warren,VA,
176,mollis.nec.cursus@mollisDuissit.org,Environment Drive,Politics,3/7/2019,wednesday,9,12,0,5,Topeka,DE,
177,ipsum@sitamet.org,Technology Foundation,Environment,9/5/2017,sunday,10,11,0,6,Lawton,OH,
178,ante.ipsum.primis@magnaPhasellus.edu,LGBT Charity Auction,Human Rights,7/28/2018,monday,9,12,0,20,Memphis,AZ,
179,Duis.mi@nonjusto.net,Youth Guest Speaker,Education,6/25/2018,tuesday,16,18,0,3,Juneau,MA,
180,mollis@tristiquealiquet.edu,Youth Social Media Fundraising,Human Rights,11/29/2018,sunday,7,10,0,20,Stamford,FL,
181,pede.malesuada.vel@euerosNam.edu,Sports Charity Auction,Health,4/8/2019,sunday,9,12,0,11,Jacksonville,IA,
182,id.magna@sagittisaugueeu.co.uk,Women Charity Auction,Women,3/22/2018,thursday,9,10,0,23,Akron,TN,
183,sagittis@tincidunt.com,Youth Walk,Environment,1/29/2018,friday,15,16,0,10,Columbus,MA,
184,nibh.Aliquam@at.org,Environment Guest Speaker,Health,10/17/2018,tuesday,11,14,0,8,Carson City,MO,
185,at.fringilla@eu.edu,Faith-based Walk,International,2/3/2017,monday,14,17,0,11,Knoxville,AZ,
186,sagittis.augue@ac.org,Youth Walk,Politics,2/20/2019,saturday,8,10,0,6,Chandler,ME,
187,purus.Maecenas@dolor.co.uk,Environment Drive,Women,7/31/2018,monday,9,12,0,22,Gulfport,PA,
188,Nunc@Quisqueporttitoreros.org,Technology Foundation,Politics,12/16/2017,wednesday,9,12,0,23,Tucson,WY,
189,Maecenas.mi.felis@pharetrafelis.net,Hunger Walk,Women,3/7/2017,sunday,7,8,0,14,Gary,FL,
190,pede@ligulaAliquam.co.uk,Sports Drive,Technology,2/25/2018,tuesday,7,9,0,6,Gary,MT,
191,ligula.Aliquam.erat@volutpatNulla.ca,Animals Drive,Arts and Crafts,12/10/2017,sunday,11,14,0,6,Fort Worth,NV,
192,leo.Vivamus.nibh@parturient.org,Homeless Charity,Hunger,12/15/2017,saturday,10,12,0,5,Minneapolis,IA,
193,adipiscing.enim.mi@massaMauris.co.uk,Environment Walk,Human Rights,1/26/2017,friday,8,11,0,19,Independence,WY,
194,posuere@Classaptenttaciti.org,Faith-based Charity Auction,Politics,1/4/2017,monday,16,18,0,2,Dallas,WI,
195,a@diamPellentesque.edu,Sports Social Media Fundraising,Hunger,3/15/2018,wednesday,14,15,0,17,Reno,IA,
196,sem.vitae@ultrices.ca,Sports Charity,Homeless,9/26/2017,monday,9,11,0,21,San Antonio,ID,
197,Suspendisse.tristique@anteNunc.edu,Education Charity,Faith-based,7/28/2017,saturday,17,18,0,4,Green Bay,CT,
198,Donec.tempor.est@risusNullaeget.net,Homeless Guest Speaker,LGBT,4/2/2017,sunday,11,12,0,23,San Antonio,MI,
199,velit.Quisque.varius@est.net,Environment Charity Auction,Youth,11/30/2017,thursday,15,17,0,11,Fort Collins,UT,
200,sollicitudin.orci@eratnonummyultricies.net,Animals Walk,Youth,8/28/2017,friday,17,19,0,9,Louisville,DE,
201,Aliquam.erat@senectusetnetus.com,Homeless Charity Auction,Seniors,2/7/2019,wednesday,7,9,0,2,Springdale,MS,
202,faucibus@Duis.net,Education Foundation,Politics,4/30/2017,monday,7,8,0,17,Detroit,OH,
203,aliquam.eu@necmollis.ca,Education Drive,Faith-based,3/8/2019,tuesday,13,14,0,19,Racine,ID,
204,sed.tortor@anteipsumprimis.edu,Health Foundation,LGBT,7/3/2018,saturday,13,15,0,20,Grand Island,MN,
205,erat@musAeneaneget.edu,Animals Charity Auction,Seniors,1/3/2018,tuesday,17,19,0,6,Springdale,MD,
206,odio.semper.cursus@molestiedapibusligula.edu,Environment Foundation,Faith-based,5/10/2018,wednesday,8,9,0,5,Salem,KS,
207,egestas@purusmaurisa.ca,Environment Walk,Politics,1/14/2019,monday,14,17,0,14,Fayetteville,OH,
208,ac.ipsum.Phasellus@orcilobortisaugue.co.uk,LGBT Foundation,Animals,5/30/2017,sunday,11,13,0,24,West Jordan,NE,
209,arcu.Morbi.sit@bibendumsed.co.uk,Politics Guest Speaker,Disaster Relief,10/29/2018,tuesday,12,15,0,21,Worcester,WA,
210,quis@Nam.org,Youth Social Media Fundraising,Faith-based,10/11/2018,monday,10,11,0,5,Salt Lake City,MT,
211,nisl@fermentummetus.org,LGBT Walk,Faith-based,4/28/2018,tuesday,10,12,0,25,Waterbury,MS,
212,cursus@risusvarius.com,Politics Charity,Human Rights,7/20/2017,thursday,11,13,0,17,Kaneohe,NE,
213,elementum.lorem.ut@Nullamvitaediam.org,Hunger Foundation,Youth,3/26/2017,wednesday,11,14,0,22,Newark,NV,
214,adipiscing@eu.co.uk,Faith-based Charity,LGBT,9/12/2017,saturday,15,18,0,3,Orlando,AZ,
215,a@sed.co.uk,Politics Walk,Education,10/16/2018,sunday,10,13,0,3,Portland,TN,
216,vel.venenatis@a.net,Seniors Charity,International,4/23/2017,wednesday,15,18,0,18,Little Rock,MT,
217,Donec.felis.orci@veliteget.ca,Seniors Drive,Homeless,10/30/2017,thursday,7,8,0,18,Chicago,CA,
218,at.libero.Morbi@enimNunc.net,Technology Guest Speaker,Arts and Crafts,3/9/2017,friday,8,10,0,18,Memphis,IN,
219,a.tortor@rutrum.co.uk,Technology Charity,Disaster Relief,9/8/2018,saturday,7,8,0,23,Tampa,IL,
220,Mauris.vestibulum@enim.co.uk,Education Foundation,Education,5/6/2018,tuesday,11,14,0,11,Owensboro,AK,
221,Cras@lacinia.net,Homeless Drive,Arts and Crafts,7/24/2017,saturday,9,12,0,22,Carson City,NE,
222,molestie.in@in.org,Politics Charity Auction,Environment,5/28/2017,monday,7,8,0,16,Sandy,ME,
